58.6.,,Operations research management ,
58.6.1.,,,Inventory storage reservoirs
58.6.2.,,,Transportation logistics supply chain management
58.6.3.,,,Stochastic network models
58.6.4.,,,Communication networks
58.6.5.,,,Traffic 
58.6.6.,,,Queues service
58.6.7.,,,Reliability availability maintenance inspection
58.6.8.,,,Deterministic scheduling 
58.6.9.,,,Stochastic scheduling 
58.6.10.,,,Search 
58.6.11.,,,Management decision making multiple objectives
58.6.12.,,,Marketing advertising
58.7.,,Mathematical programming,
58.7.1.,,,Linear programming
58.7.7.,,,Stochastic programming
58.7.9.,,,Quadratic programming
58.7.10.,,,Semidefinite programming
58.7.15.,,,Combinatorial optimization
58.7.16.,,,Multi-objective goal programming
58.7.24.,,,Markov semi-Markov decision processes
58.7.25.,,,Duality
58.7.26.,,,Minimax mathematical programming
58.7.34.,,,Polyhedral combinatorics branch--bound branch--cut
59,Game economics social behavioral ,,
59.1.,,Mathematical economics,
59.1.1.,,,Risk models
59.1.2.,,,Decision 
59.1.3.,,,Individual preferences
59.1.4.,,,Group preferences
59.1.5.,,,Consumer behavior demand 
59.1.12.,,,Statistical economic indices measures
59.1.13.,,,Economic time series analysis
59.2.,,Social behavioral general topics,
59.2.1.,,,Measurement social behavioral 
59.2.2.,,,One- multidimensional scaling social behavioral 
59.2.3.,,,Clustering social behavioral 
59.3.,,Mathematical sociology anthropology,
59.3.1.,,,Models societies social urban evolution
59.3.3.,,,Mathematical geography demography
59.3.4.,,,Spatial models sociology
59.3.5.,,,Social networks opinion dynamics
59.4.,,Mathematical psychology,
59.4.4.,,,Measurement performance psychology
59.5.,,Actuarial mathematical finance,
59.5.1.,,,Derivative securities option pricing hedging
59.5.2.,,,Interest rates asset pricing stochastic models
59.5.3.,,,Credit risk
59.5.4.,,,Financial networks contagion systemic risk regulation
59.5.5.,,,Corporate finance dividends real options
60,Biology natural ,,
60.1.,,Mathematical biology general,
60.1.1.,,,Biology biomathematics
60.1.2.,,,Taxonomy cladistics statistics mathematical biology
60.1.3.,,,Biostatistics
60.1.4.,,,Neural networks biological studies artificial life topics
60.2.,,Physiological cellular medical topics,
60.2.1.,,,Cell biology
60.2.2.,,,Biochemistry molecular biology
60.2.3.,,,Systems biology networks
60.2.4.,,,Medical applications
60.2.5.,,,Biomedical imaging signal processing
60.2.6.,,,Medical epidemiology
60.3.,,Genetics population dynamics,
60.3.1.,,,Evolution
60.3.2.,,,Protein sequences DNA sequences
60.3.3.,,,Epidemiology
60.3.4.,,,Ecology
60.4.,,Chemistry,
60.4.1.,,,Molecular structure differential topology
61,Systems control,,
61.7.,,Stochastic systems control,
61.7.1.,,,Estimation detection stochastic control 
61.7.2.,,,Filtering stochastic control 
61.7.3.,,,Identification stochastic control 
61.7.4.,,,Data smoothing stochastic control 
61.7.5.,,,Least squares stochastic control systems
61.7.6.,,,Stochastic learning adaptive control
62,Information communication circuits,,
62.6.,,Communication information,
62.6.1.,,,Image processing compression reconstruction information communication 
62.6.2.,,,Application orthogonal special functions
62.6.3.,,,Signal characterization reconstruction filtering
62.6.4.,,,Detection information communication 
62.6.5.,,,Modulation demodulation information communication 
62.6.7.,,,Informational data analysis big data
62.6.8.,,,Measures information entropy
62.6.14.,,, questionnaires
